clique_id,numero_nodi,amicizie_mancanti,simmetrie_mancanti,massimo_score_interessi,count_score_massimi 
5946a55bf810d56922433044,8,0,6,37,2
5946a55bf810d569224330a1,8,0,5,39,2
5946a55bf810d569224330a2,8,2,11,40,2
5946a55bf810d569224330a3,8,0,4,44,2
5946a55bf810d569224330a4,8,2,10,44,2
5946a562f810d5692243367a,8,0,11,6,2
5946a564f810d56922433744,8,0,7,120,7
5946a564f810d56922433747,8,0,7,127,7
5946a567f810d569224339f5,8,0,10,15,1
5946a567f810d56922433a3a,8,0,10,21,1
5946a569f810d56922434a07,8,0,10,27,1
5946a569f810d56922434f26,8,0,10,33,1
5946a570f810d56922435c46,8,0,7,53,1
5946a576f810d5692243624a,8,0,3,158,10
5946a576f810d5692243624c,8,0,4,215,10
5946a576f810d5692243624e,9,0,4,210,10
5946a576f810d56922436253,10,0,5,271,9
5946a576f810d56922436254,10,0,6,308,8
5946a576f810d56922436257,10,0,12,269,9
5946a576f810d56922436261,10,0,12,279,9
5946a576f810d56922436270,10,0,6,312,10
5946a576f810d56922436275,11,0,5,354,10
5946a576f810d56922436278,11,0,7,354,10
5946a576f810d5692243627b,8,0,4,254,10
5946a576f810d5692243627d,10,0,5,318,9
5946a576f810d5692243627e,9,0,4,302,12
5946a576f810d5692243627f,10,0,4,337,9
5946a576f810d56922436280,8,0,0,266,9
5946a576f810d56922436281,9,0,1,280,11
5946a576f810d56922436282,8,0,2,273,9
5946a576f810d56922436283,9,0,2,288,11
5946a576f810d56922436286,8,0,1,256,11
5946a576f810d56922436287,8,0,2,259,9
5946a576f810d56922436288,8,0,4,221,9
5946a576f810d569224362a6,10,0,4,337,9
5946a576f810d569224362a7,10,0,3,367,9
5946a576f810d569224362ab,10,0,3,367,9
5946a576f810d569224362ad,9,0,5,315,9
5946a576f810d569224362b4,10,0,3,387,9
5946a576f810d569224362b9,10,0,3,407,9
5946a576f810d569224362ba,10,0,4,396,9
5946a576f810d569224362e8,9,0,2,367,8
5946a576f810d56922436300,9,2,10,343,10
5946a576f810d56922436304,11,0,3,443,8
5946a576f810d56922436309,9,0,6,322,10
5946a576f810d5692243630a,9,0,4,343,10
5946a576f810d5692243630c,14,0,3,601,8
5946a576f810d56922436334,9,0,0,385,11
5946a576f810d56922436341,10,0,4,451,6
5946a576f810d56922436344,9,0,5,375,11
5946a576f810d56922436349,9,0,2,416,11
5946a576f810d5692243634b,9,0,2,387,11
5946a576f810d5692243634c,9,0,3,383,9
5946a576f810d5692243634e,9,2,8,376,9
5946a576f810d5692243634f,10,2,9,427,11
5946a576f810d5692243635d,8,0,5,324,15
5946a576f810d5692243635f,10,0,6,444,10
5946a576f810d56922436363,8,0,10,331,11
5946a576f810d5692243638c,11,0,11,541,8
