clique_id, presenze massime_count, numero_nodi,Soglia 1,Soglia 2,Soglia 3,Soglia 4,frs1,frs2,frs3,frs4
5946a8fdf810d569224c4a6b,6,10,10,9,9,9,1,"0,9","0,9","0,9"
5946b009f810d5692255bf64,17,8,8,8,7,6,1,1,"0,875","0,75"
5946a8f9f810d569224c0efd,10,10,10,9,9,9,1,"0,9","0,9","0,9"
5946a8fef810d569224c4fc1,11,9,9,9,9,9,1,1,1,1
5946aee6f810d56922546848,11,8,8,7,7,7,1,"0,875","0,875","0,875"
5946ad07f810d5692251a711,9,10,10,10,10,10,1,1,1,1
5946ad04f810d5692251854b,17,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a8f5f810d569224bd7ee,7,9,9,9,9,9,1,1,1,1
5946aeb9f810d56922540ad6,11,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946ad00f810d569225154f3,10,11,11,11,11,11,1,1,1,1
5946b009f810d5692255b93a,10,9,9,9,9,9,1,1,1,1
5946a892f810d569224ab884,9,9,9,9,9,9,1,1,1,1
5946a5f3f810d5692244a63f,17,8,8,8,8,8,1,1,1,1
5946a8fcf810d569224c38ec,13,12,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946a5f3f810d5692244afc4,13,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946ad4ef810d569225274cc,20,9,9,9,9,9,1,1,1,1
5946a576f810d56922436363,19,8,8,8,6,6,1,1,"0,75","0,75"
5946a5f3f810d5692244a60a,16,8,8,7,7,7,1,"0,875","0,875","0,875"
5946afb7f810d569225583a4,10,11,11,11,11,11,1,1,1,1
5946a8fbf810d569224c207f,15,11,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946a5f3f810d5692244a554,16,8,8,7,7,7,1,"0,875","0,875","0,875"
5946a8b6f810d569224b29a0,6,10,10,9,9,9,1,"0,9","0,9","0,9"
5946a5f3f810d5692244aee7,13,10,10,9,9,9,1,"0,9","0,9","0,9"
5946ad03f810d56922517ee9,11,13,13,12,12,12,1,"0,9230769231","0,9230769231","0,9230769231"
5946a8f8f810d569224bf896,30,8,8,8,8,8,1,1,1,1
5946af8ef810d56922557799,14,9,9,9,9,9,1,1,1,1
5946ad0df810d5692252047c,9,10,10,10,10,10,1,1,1,1
5946ad04f810d5692251882d,8,10,10,9,9,9,1,"0,9","0,9","0,9"
5946ad4df810d569225261d8,20,9,9,9,9,9,1,1,1,1
5946ad05f810d569225194d8,12,12,12,12,12,12,1,1,1,1
5946b008f810d5692255b669,23,8,7,7,7,7,"0,875","0,875","0,875","0,875"
5946b2f7f810d5692256d1f6,8,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a8e0f810d569224b70ac,13,8,8,8,8,8,1,1,1,1
5946ad06f810d56922519ffc,17,10,10,9,9,9,1,"0,9","0,9","0,9"
5946a797f810d5692248ef48,14,11,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946a8f2f810d569224ba86f,13,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a954f810d569224d1d74,17,9,9,8,7,6,1,"0,8888888889","0,7777777778","0,6666666667"
5946aef2f810d56922550bdc,8,10,10,10,10,10,1,1,1,1
5946acfef810d56922513b12,15,9,9,9,9,9,1,1,1,1
5946abb8f810d5692250550d,17,9,9,7,7,7,1,"0,7777777778","0,7777777778","0,7777777778"
5946a8fef810d569224c5555,17,11,11,11,10,10,1,1,"0,9090909091","0,9090909091"
5946aef1f810d56922550783,11,10,10,10,10,10,1,1,1,1
5946a5f3f810d5692244a835,18,8,8,8,8,8,1,1,1,1
5946aeeaf810d56922549ff3,12,13,13,12,12,12,1,"0,9230769231","0,9230769231","0,9230769231"
5946ad03f810d56922517936,7,8,8,7,7,7,1,"0,875","0,875","0,875"
5946aee8f810d56922548b4a,9,12,12,12,12,12,1,1,1,1
5946aee9f810d56922549399,11,10,10,8,8,8,1,"0,8","0,8","0,8"
5946af1bf810d569225529bd,11,10,10,10,10,10,1,1,1,1
5946a5f3f810d5692244abaf,18,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946aff1f810d56922559c3d,14,11,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946ad02f810d569225167ab,10,10,10,10,10,10,1,1,1,1
5946a84af810d569224a4c33,17,9,9,9,9,9,1,1,1,1
5946ad0bf810d5692251ea77,13,10,10,10,10,10,1,1,1,1
5946a5f3f810d5692244aff8,11,10,10,9,9,9,1,"0,9","0,9","0,9"
5946a8fef810d569224c4bb2,8,9,9,9,9,9,1,1,1,1
5946a5f4f810d5692244b270,11,8,8,7,6,6,1,"0,875","0,75","0,75"
5946a954f810d569224d225b,23,8,8,8,8,8,1,1,1,1
5946a906f810d569224c7978,14,10,10,9,8,8,1,"0,9","0,8","0,8"
5946a6e6f810d56922473f35,9,8,8,7,7,7,1,"0,875","0,875","0,875"
5946a607f810d5692244d2d7,11,11,10,10,10,10,"0,9090909091","0,9090909091","0,9090909091","0,9090909091"
5946a5f3f810d5692244aa69,10,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a8fff810d569224c652c,6,10,10,9,8,8,1,"0,9","0,8","0,8"
5946b1e6f810d56922568f94,13,8,8,7,7,7,1,"0,875","0,875","0,875"
