com_id, Nodi, Conteggio, NumeroClique, intrusi, Soglia 1,Soglia 2,Soglia 3,Soglia 4,frs1,frs2,frs3,frs4
5a2ac2335b73222015f91360,33,8,42,0,33,27,26,26,1,"0,8181818182","0,7878787879","0,7878787879"
5a2ac24f5b73222015f914fe,33,9,75,0,33,31,30,29,1,"0,9393939394","0,9090909091","0,8787878788"
5a2ab9f75b73222015f8d873,32,5,26,0,32,30,30,29,1,"0,9375","0,9375","0,90625"
5a2abb835b73222015f8e867,32,7,35,0,32,28,28,28,1,"0,875","0,875","0,875"
5a2abc755b73222015f8f1fb,32,9,44,0,32,30,30,30,1,"0,9375","0,9375","0,9375"
5a2ac6505b73222015f92784,31,5,35,0,31,29,29,29,1,"0,935483871","0,935483871","0,935483871"
5a2abe8d5b73222015f8fe6f,31,6,61,0,30,27,26,26,"0,9677419355","0,8709677419","0,8387096774","0,8387096774"
5a2abbbe5b73222015f8ea6f,30,5,46,1,29,27,27,27,"0,9666666667","0,9","0,9","0,9"
5a2abc235b73222015f8ee2a,30,7,54,0,30,23,23,23,1,"0,7666666667","0,7666666667","0,7666666667"
5a2ac1cc5b73222015f90c49,30,9,51,1,29,24,23,23,"0,9666666667","0,8","0,7666666667","0,7666666667"
5a2abc885b73222015f8f378,29,5,49,1,28,26,26,26,"0,9655172414","0,8965517241","0,8965517241","0,8965517241"
5a2ac29e5b73222015f91805,29,5,40,0,29,25,25,25,1,"0,8620689655","0,8620689655","0,8620689655"
5a2ac29f5b73222015f91826,29,7,33,1,28,23,23,22,"0,9655172414","0,7931034483","0,7931034483","0,7586206897"
5a2ac2bc5b73222015f91924,29,7,68,1,28,26,26,26,"0,9655172414","0,8965517241","0,8965517241","0,8965517241"
5a2a24af5b73222015f7fb89,28,6,18,0,28,26,25,25,1,"0,9285714286","0,8928571429","0,8928571429"
5a2abbed5b73222015f8ec36,28,6,33,0,28,26,26,26,1,"0,9285714286","0,9285714286","0,9285714286"
5a2a5ae15b73222015f84423,27,5,19,0,27,23,23,23,1,"0,8518518519","0,8518518519","0,8518518519"
5a2ab9f15b73222015f8d821,27,5,26,0,27,24,24,24,1,"0,8888888889","0,8888888889","0,8888888889"
5a2ab9fa5b73222015f8d8ba,27,5,29,0,27,25,25,25,1,"0,9259259259","0,9259259259","0,9259259259"
5a2abb125b73222015f8e5ef,27,5,28,0,27,26,26,26,1,"0,962962963","0,962962963","0,962962963"
5a2abbb95b73222015f8ea39,27,5,31,0,27,23,22,22,1,"0,8518518519","0,8148148148","0,8148148148"
5a2abbac5b73222015f8e9dc,27,8,25,0,27,25,25,25,1,"0,9259259259","0,9259259259","0,9259259259"
5a2abc125b73222015f8ed84,27,9,32,0,27,22,21,21,1,"0,8148148148","0,7777777778","0,7777777778"
5a2aac875b73222015f88447,26,5,25,0,26,22,22,22,1,"0,8461538462","0,8461538462","0,8461538462"
5a2abbb05b73222015f8ea16,26,5,26,0,26,23,23,23,1,"0,8846153846","0,8846153846","0,8846153846"
5a2abc715b73222015f8f185,26,5,29,0,26,22,22,22,1,"0,8461538462","0,8461538462","0,8461538462"
5a2aba635b73222015f8dcde,26,7,43,0,25,21,21,21,"0,9615384615","0,8076923077","0,8076923077","0,8076923077"
5a2ab4fe5b73222015f8ba80,25,5,30,0,25,23,22,21,1,"0,92","0,88","0,84"
5a2ab9f25b73222015f8d833,25,6,26,0,25,23,23,22,1,"0,92","0,92","0,88"
5a2abbd45b73222015f8eb48,25,6,25,0,25,22,21,21,1,"0,88","0,84","0,84"
5a2aba7d5b73222015f8de00,25,7,32,1,24,22,21,21,"0,96","0,88","0,84","0,84"
5a2ab8b25b73222015f8cbcc,25,8,34,0,25,24,23,23,1,"0,96","0,92","0,92"
5a29ef285b73222015f7a973,25,10,13,0,25,23,23,23,1,"0,92","0,92","0,92"
5a2abc7e5b73222015f8f2e4,25,11,26,0,25,23,22,22,1,"0,92","0,88","0,88"
5a2abc7c5b73222015f8f2a7,24,1,23,0,24,24,24,23,1,1,1,"0,9583333333"
5a2ac69c5b73222015f92dcd,24,4,29,0,24,22,22,22,1,"0,9166666667","0,9166666667","0,9166666667"
5a2abc695b73222015f8f119,24,5,30,0,24,21,20,20,1,"0,875","0,8333333333","0,8333333333"
5a2ac27e5b73222015f916d0,24,7,25,0,24,23,23,23,1,"0,9583333333","0,9583333333","0,9583333333"
5a312c5e5b7322713613d465,23,1,15,0,23,18,16,15,1,"0,7826086957","0,6956521739","0,652173913"
5a312c5e5b7322713613d466,23,1,17,0,23,17,16,14,1,"0,7391304348","0,6956521739","0,6086956522"
5a2abb9a5b73222015f8e8ee,23,8,23,0,23,21,19,19,1,"0,9130434783","0,8260869565","0,8260869565"
5a2abac05b73222015f8e191,23,9,24,0,23,20,20,20,1,"0,8695652174","0,8695652174","0,8695652174"
5a2abb705b73222015f8e7c6,23,11,24,0,23,23,22,22,1,1,"0,9565217391","0,9565217391"
5a2abbc05b73222015f8ea99,23,12,25,0,23,20,20,20,1,"0,8695652174","0,8695652174","0,8695652174"
5a2ab30a5b73222015f8aba3,23,13,23,0,23,20,19,18,1,"0,8695652174","0,8260869565","0,7826086957"
5a312c705b7322713613d482,22,4,13,0,22,19,17,17,1,"0,8636363636","0,7727272727","0,7727272727"
5a2abd3e5b73222015f8f7a3,22,5,28,0,22,20,20,20,1,"0,9090909091","0,9090909091","0,9090909091"
5a2a61735b73222015f84964,22,6,26,0,22,19,19,19,1,"0,8636363636","0,8636363636","0,8636363636"
5a2aba6f5b73222015f8dd6a,22,6,19,0,22,21,21,21,1,"0,9545454545","0,9545454545","0,9545454545"
5a2abb9f5b73222015f8e961,22,6,27,0,22,20,20,20,1,"0,9090909091","0,9090909091","0,9090909091"
5a2ac23a5b73222015f913ed,22,8,25,0,22,22,22,21,1,1,1,"0,9545454545"
5a2ab4925b73222015f8b70b,22,9,17,0,22,21,21,21,1,"0,9545454545","0,9545454545","0,9545454545"
5a2abb005b73222015f8e512,22,9,17,0,22,21,21,21,1,"0,9545454545","0,9545454545","0,9545454545"
5a2ab9595b73222015f8d257,21,1,17,0,21,16,14,13,1,"0,7619047619","0,6666666667","0,619047619"
5a2abbf25b73222015f8ec6f,21,4,20,0,21,21,21,20,1,1,1,"0,9523809524"
5a2abc595b73222015f8f064,21,5,18,0,21,18,18,18,1,"0,8571428571","0,8571428571","0,8571428571"
5a2abd615b73222015f8f867,21,6,29,0,21,20,20,20,1,"0,9523809524","0,9523809524","0,9523809524"
5a2ac2505b73222015f91511,21,6,25,0,21,18,18,18,1,"0,8571428571","0,8571428571","0,8571428571"
5a2abbd15b73222015f8eb23,21,7,23,0,21,20,20,20,1,"0,9523809524","0,9523809524","0,9523809524"
5a2ac2c55b73222015f919c6,21,7,28,0,21,19,19,19,1,"0,9047619048","0,9047619048","0,9047619048"
5a2ac23c5b73222015f91412,21,8,18,0,21,20,20,20,1,"0,9523809524","0,9523809524","0,9523809524"
5a2ab1a45b73222015f8a001,21,9,20,0,21,21,21,21,1,1,1,1
5a2abbdc5b73222015f8eb9a,21,11,20,0,21,21,21,21,1,1,1,1
5a2abbe85b73222015f8ec08,21,11,27,0,21,21,21,21,1,1,1,1
5a2a72cd5b73222015f85633,20,1,13,0,20,12,12,11,1,"0,6","0,6","0,55"
5a2abaf25b73222015f8e42d,20,1,21,0,20,17,16,16,1,"0,85","0,8","0,8"
5a312c2c5b7322713613d425,20,1,12,0,20,18,17,16,1,"0,9","0,85","0,8"
5a2abd045b73222015f8f576,20,2,22,0,20,18,18,18,1,"0,9","0,9","0,9"
5a2ac29e5b73222015f91810,20,3,22,0,20,17,17,17,1,"0,85","0,85","0,85"
5a2ab51b5b73222015f8bbe7,20,4,11,0,20,17,14,14,1,"0,85","0,7","0,7"
5a312b965b7322713613d281,20,4,22,1,18,15,13,12,"0,9","0,75","0,65","0,6"
5a2abd285b73222015f8f69d,20,5,23,0,20,17,17,17,1,"0,85","0,85","0,85"
5a2ac2365b73222015f913a6,20,6,22,0,20,18,18,18,1,"0,9","0,9","0,9"
5a2ac2cc5b73222015f91a66,20,7,26,0,20,18,18,18,1,"0,9","0,9","0,9"
5a2ab9e05b73222015f8d721,20,8,16,0,20,17,17,17,1,"0,85","0,85","0,85"
5a29cc595b73222015f71af7,20,9,9,0,20,20,20,18,1,1,1,"0,9"
5a2a36a45b73222015f814c8,20,9,20,0,20,18,18,18,1,"0,9","0,9","0,9"
5a2ab2cf5b73222015f8a98d,20,9,18,0,20,18,18,18,1,"0,9","0,9","0,9"
5a2aba0c5b73222015f8d96d,20,9,18,0,20,19,19,19,1,"0,95","0,95","0,95"
5a2abbb15b73222015f8ea1e,20,9,13,0,20,18,18,18,1,"0,9","0,9","0,9"
