clique_id,numero_nodi,amicizie_mancanti,simmetrie_mancanti
5946a55bf810d56922433043,8,0.0,4
5946a55bf810d56922433044,8,0.0,6
5946a55bf810d569224330a1,8,0.0,5
5946a55bf810d569224330a2,8,1.0,11
5946a55bf810d569224330a3,8,0.0,4
5946a55bf810d569224330a4,8,1.0,10
5946a570f810d56922435c46,8,0.0,7
5946a576f810d569224362ce,10,0.0,4
5946a576f810d5692243634d,9,0.0,5
5946a576f810d56922436374,9,0.0,6
5946a576f810d56922436381,10,0.0,10
5946a576f810d56922436388,10,0.0,9
5946a576f810d56922436391,10,0.0,8
5946a576f810d56922436397,11,0.0,11
5946a57cf810d56922436f94,8,0.0,13
5946a57cf810d5692243703b,8,0.0,9
5946a57cf810d56922437047,8,0.0,7
5946a57cf810d5692243704d,8,0.0,10
5946a582f810d56922438125,8,0.0,10
5946a582f810d56922438126,8,0.0,8
5946a582f810d5692243812a,8,0.0,9
5946a582f810d56922438180,8,0.0,11
5946a582f810d56922438184,8,0.0,12
5946a582f810d56922438186,8,0.0,12
5946a587f810d5692243892a,8,0.0,9
5946a587f810d569224389ca,8,0.0,14
5946a588f810d56922439430,8,0.0,12
5946a588f810d5692243984a,8,0.0,8
5946a588f810d5692243984b,8,0.0,8
5946a588f810d5692243989a,8,0.0,10
5946a588f810d5692243989c,8,0.0,11
5946a588f810d569224398a6,8,0.0,10
5946a588f810d569224398a7,8,0.0,9
5946a588f810d569224398d9,8,0.0,10
5946a588f810d569224398db,8,0.0,11
5946a588f810d569224398df,8,0.0,10
5946a588f810d569224398e0,8,0.0,11
5946a588f810d569224398e1,8,0.0,9
5946a588f810d569224398e3,8,0.0,9
5946a588f810d569224398e4,8,0.0,8
5946a588f810d569224398eb,8,0.0,12
5946a588f810d569224398ee,8,0.0,13
5946a588f810d569224398f9,8,0.0,11
5946a588f810d569224398fb,8,0.0,12
5946a588f810d56922439915,8,0.0,12
5946a588f810d56922439916,8,0.0,12
5946a588f810d56922439932,8,0.0,12
5946a588f810d56922439933,8,0.0,13
5946a588f810d56922439947,8,0.0,12
5946a588f810d5692243995f,8,0.0,12
5946a588f810d5692243997a,8,0.0,12
5946a588f810d5692243997b,8,0.0,12
5946a589f810d5692243a6b5,8,0.0,15
5946a589f810d5692243a6e4,8,0.0,15
5946a589f810d5692243a6ea,8,0.0,13
5946a58df810d5692243bb39,8,0.0,10
5946a58df810d5692243bb50,8,0.0,10
5946a591f810d5692243c992,8,0.0,12
5946a591f810d5692243c9b4,8,0.0,9
5946a591f810d5692243c9b6,9,0.0,12
5946a591f810d5692243c9b7,9,0.0,10
5946a591f810d5692243c9bb,9,0.0,13
5946a591f810d5692243c9bc,9,0.0,13
5946a592f810d5692243c9e8,8,0.0,12
5946a592f810d5692243ca0f,8,0.0,9
5946a593f810d5692243cb7a,8,0.0,2
5946a593f810d5692243cb7b,8,0.0,0
5946a593f810d5692243cb7c,8,0.0,3
5946a594f810d5692243cbaf,10,0.0,10
5946a594f810d5692243cbb0,10,0.0,9
5946a597f810d5692243d245,8,0.0,9
5946a598f810d5692243d33b,9,0.0,1
5946a598f810d5692243d33c,9,0.0,0
5946a598f810d5692243d33d,9,0.0,1
5946a598f810d5692243d33e,9,0.0,1
5946a59bf810d5692243d529,8,0.0,3
5946a59bf810d5692243d52a,8,0.0,1
5946a59ef810d5692243d7ea,10,0.0,6
5946a59ef810d5692243d7eb,9,0.0,7
5946a59ef810d5692243d7f0,10,0.0,4
5946a59ef810d5692243d7f1,10,0.0,4
5946a59ef810d5692243d822,8,0.0,12
5946a5a5f810d5692243ddf8,8,0.0,5
5946a5a5f810d5692243ddf9,8,0.0,7
5946a5a5f810d5692243de18,8,0.0,5
5946a5a6f810d5692243e0e4,8,0.0,11
5946a5a7f810d5692243e0fc,9,0.0,1
5946a5a7f810d5692243e0fe,9,0.0,1
5946a5a7f810d5692243e124,8,0.0,8
5946a5a7f810d5692243e176,9,0.0,0
5946a5a7f810d5692243e177,9,0.0,1
5946a5a7f810d5692243e191,10,0.0,9
5946a5a7f810d5692243e193,11,0.0,11
5946a5a7f810d5692243e1a0,8,0.0,3
5946a5a7f810d5692243e1a3,8,0.0,0
5946a5a7f810d5692243e1b3,8,0.0,7
5946a5a7f810d5692243e1b4,9,0.0,13
5946a5a7f810d5692243e1b5,9,0.0,12
5946a5a7f810d5692243e1b6,9,0.0,9
5946a5a7f810d5692243e1ba,8,0.0,1
