clique_id, presenze massime_valore, presenze massime_count, numero_nodi, intrusi 
5946a7a3f810d56922490cf7,7,2,8,0
5946ad01f810d56922515db9,9,19,9,0
5946a8fbf810d569224c247f,11,17,11,0
5946a5b3f810d569224403c5,6,4,8,0
5946ab35f810d569224fc2e8,8,1,8,0
5946a576f810d56922436262,10,18,10,0
5946a8fbf810d569224c201a,12,13,12,0
5946acfef810d569225137ca,8,12,8,0
5946a74af810d56922486b96,7,2,8,0
5946aed9f810d56922545ca2,7,5,8,0
5946aec4f810d569225429c0,11,14,11,0
5946aef2f810d56922550aff,10,12,10,0
5946a791f810d5692248eb8b,12,12,12,0
5946b009f810d5692255b949,9,15,9,0
5946a5f2f810d56922449983,9,12,9,0
5946a5f4f810d5692244b577,10,13,10,0
5946a5f3f810d5692244abcf,9,21,9,0
5946a8f5f810d569224bd924,10,12,10,0
5946a809f810d5692249fdae,7,2,8,0
5946ac43f810d5692250aeb0,8,1,8,0
5946a797f810d5692248ef9c,8,12,8,0
5946a8f6f810d569224bdcf6,12,10,12,0
5946a5f2f810d5692244a0f6,8,16,8,0
5946a8fbf810d569224c24d3,14,15,14,0
5946aa04f810d569224e45be,7,1,8,0
5946a8e4f810d569224b7da4,9,8,9,0
5946a5f4f810d5692244b3d5,10,15,10,0
5946a8f4f810d569224bbc5b,11,13,11,0
5946a5b4f810d56922440784,7,2,8,0
5946a5f2f810d5692244a0d0,10,12,10,0
5946a5a5f810d5692243dea1,8,2,8,0
5946aeeaf810d56922549dc4,12,13,12,0
5946ab35f810d569224fc582,8,1,9,0
5946b009f810d5692255b8c5,9,11,9,0
5946a7a2f810d569224909df,9,1,9,0
5946abdff810d569225073e5,9,9,9,0
5946ab79f810d569225010a4,7,1,8,0
5946a5f3f810d5692244ad8d,9,15,9,0
5946ad07f810d5692251a800,10,10,10,0
5946ab72f810d5692250062e,8,2,8,0
5946a7a2f810d56922490a1c,8,2,9,0
5946ac9af810d5692250df6a,11,9,11,0
