clique_id, presenze massime_valore, presenze massime_count, numero_nodi, intrusi 
5946b009f810d5692255bf18,9,1,10,0
5946aaabf810d569224f5034,7,1,8,0
5946ade1f810d5692253517d,8,6,9,0
5946b009f810d5692255b95b,9,1,9,0
5946a8f6f810d569224bdea0,9,1,9,0
5946a6c4f810d5692246e753,8,7,9,0
5946a762f810d5692248ce45,9,1,10,1
5946a775f810d5692248dbda,11,1,11,0
5946a6c4f810d5692246e977,9,3,10,0
5946a6c4f810d5692246e9d8,9,2,9,0
5946aee8f810d56922548699,10,1,10,0
5946a5a7f810d5692243e3b8,9,2,10,0
5946a8f2f810d569224ba09f,8,1,8,0
5946b038f810d5692255dce2,7,1,8,0
5946aeebf810d5692254a9d5,8,2,8,0
5946a761f810d5692248c902,8,4,9,0
5946a947f810d569224cc4ab,8,2,8,0
5946a9b4f810d569224dc3f2,7,1,8,0
5946adbbf810d56922532828,7,1,8,0
5946ad97f810d5692252debf,9,4,10,0
5946a6c4f810d5692246e794,9,4,10,0
5946ad02f810d56922516d79,8,4,8,0
5946a762f810d5692248ce57,10,1,10,0
5946a7a3f810d56922491588,6,4,8,0
5946aeb5f810d5692253ff55,7,1,8,0
5946ab35f810d569224fc50a,6,1,8,0
5946a5f3f810d5692244a89d,8,3,8,0
5946a7a2f810d56922490867,6,1,8,0
5946a5a7f810d5692243e390,9,1,9,0
5946acfef810d569225137aa,9,1,9,0
5946aaf2f810d569224f94a0,9,1,10,0
5946a6c7f810d5692246f4dd,9,1,9,0
5946a5f3f810d5692244a9d8,8,2,8,0
5946acd5f810d56922512544,8,4,9,0
5946a6c4f810d5692246ea52,9,2,9,0
5946a6c7f810d5692246f534,9,2,9,0
5946a87af810d569224aa97f,7,2,9,0
5946a6c7f810d5692246f3a0,9,2,9,0
5946a5a7f810d5692243e363,11,1,12,0
5946a8f3f810d569224bb12d,9,5,9,0
5946a761f810d5692248c583,8,1,8,0
5946a6c4f810d5692246ec4b,8,1,8,0
5946b009f810d5692255bdef,9,1,9,0
5946a6c4f810d5692246e986,9,1,9,0
5946a5f3f810d5692244ade9,7,3,8,0
5946b15ff810d56922565988,6,3,8,0
5946a6c7f810d5692246f2a1,10,2,10,0
5946a588f810d56922439932,6,1,8,0
5946acfef810d569225137d4,7,8,8,0
5946a6f2f810d569224749ae,6,3,9,2
5946b00af810d5692255ceb8,9,2,9,0
5946a9aaf810d569224dabd7,6,1,8,1
5946abdff810d5692250732e,9,1,9,0
5946a6c4f810d5692246e99c,9,1,9,0
5946a6c7f810d5692246f4de,8,3,9,0
5946a74ff810d56922489878,6,3,8,0
5946a6c7f810d5692246f4ca,10,1,10,0
5946a761f810d5692248c5f2,8,4,9,0
5946a761f810d5692248c61e,7,4,8,0
5946a8f8f810d569224bf84e,8,4,9,0
5946a7a3f810d56922490b50,6,1,8,0
5946a761f810d5692248c63a,8,8,9,0
5946a611f810d5692244e122,9,1,9,0
5946b086f810d56922560636,6,2,8,0
5946a7a3f810d56922490cc5,6,1,8,0
5946a762f810d5692248cd4d,10,1,10,0
5946a6c7f810d5692246f2b5,10,2,10,0
5946a5a7f810d5692243e30c,6,5,8,0
5946b00af810d5692255cddf,10,1,10,0
5946a6c4f810d5692246e967,9,1,10,0
5946a6c4f810d5692246eb21,9,6,10,0
