com_id, Nodi, MassimaFreq, Conteggio, NumeroClique, intrusi
5a29c76f5b73222015f6f7cd,13,13,14,3,0
5a29d5f15b73222015f75e9e,11,11,3,2,0
5a29c7665b73222015f6f7a4,12,12,11,2,0
5a29cbfc5b73222015f71919,13,13,18,2,0
5a2abb9c5b73222015f8e921,19,19,9,15,0
5a2abbbf5b73222015f8ea7d,34,34,9,43,0
5a29d6245b73222015f75f1c,11,11,9,2,0
5a2ab4fc5b73222015f8ba52,9,9,24,2,0
5a29ec2e5b73222015f7a1dc,12,12,10,3,0
5a29eb3b5b73222015f79f94,11,11,7,2,0
5a2abac05b73222015f8e191,23,23,9,24,0
5a2a24af5b73222015f7fb89,28,28,6,18,0
5a312ba15b7322713613d2d1,145,143,5,460,1
5a2ac2c55b73222015f919bf,33,33,7,60,0
5a29d4475b73222015f75732,12,12,7,3,0
5a2ab3055b73222015f8ab57,12,11,7,4,0
5a29e0a55b73222015f77fd9,12,12,10,3,0
5a312b805b7322713613d129,13,13,7,5,0
5a29d3475b73222015f74f26,11,11,11,2,0
5a2ac2d15b73222015f91ae6,17,17,6,14,0
5a2a762e5b73222015f85888,10,9,15,3,1
5a2abd605b73222015f8f85f,18,18,7,14,0
5a2aac3d5b73222015f88355,9,9,8,2,0
5a2a28195b73222015f80008,11,11,6,3,0
5a29e6f65b73222015f793a7,13,13,6,3,0
5a29ce035b73222015f72647,14,14,10,2,0
5a2a03185b73222015f7ccc1,12,12,12,4,0
5a2a2af15b73222015f8039d,10,10,10,2,0
5a2a6f615b73222015f8540a,9,9,8,2,0
5a2a27195b73222015f7fee7,11,11,13,3,0
5a2ab2fc5b73222015f8aadd,13,13,14,4,0
5a2a75015b73222015f8579b,9,8,13,2,1
5a2ac2cc5b73222015f91a66,20,20,7,26,0
5a2abc325b73222015f8eebf,15,15,12,10,0
5a2ab4fe5b73222015f8ba80,25,25,5,30,0
5a2ab0b65b73222015f8999a,13,13,7,6,0
5a2a94475b73222015f86be4,13,13,12,7,0
5a3123f65b7322713613be6f,140,140,4,438,0
5a2aa4f85b73222015f875b4,9,9,7,2,0
5a29e88c5b73222015f798a2,11,11,15,2,0
5a2ac2835b73222015f9170d,34,33,6,86,0
5a2a05965b73222015f7d003,10,10,6,2,0
5a2abe515b73222015f8fc46,13,13,14,8,0
5a2a15cb5b73222015f7e63c,10,10,5,2,0
5a29d2465b73222015f74a5d,11,11,16,2,0
5a29d4b45b73222015f759ab,13,13,7,4,0
5a29ccda5b73222015f71e43,13,13,8,3,0
5a29d4f75b73222015f75b05,11,11,8,2,0
5a2ab2dd5b73222015f8aa03,11,11,12,5,0
5a2a16ff5b73222015f7e829,14,14,15,6,0
5a29df3d5b73222015f77999,11,11,20,2,0
5a2abd585b73222015f8f80d,14,14,10,4,0
5a2aae0f5b73222015f889bf,10,10,10,3,0
5a2a77d95b73222015f85a9d,10,10,1,3,0
5a2a88405b73222015f86405,9,8,18,2,1
5a312c705b7322713613d482,22,22,4,13,0
5a2ab4515b73222015f8b554,9,9,12,2,0
5a2ab1595b73222015f89dbc,14,14,12,9,0
5a2ac6545b73222015f92810,57,57,3,109,0
5a2ab4fe5b73222015f8ba6e,18,18,5,9,0
5a2abbdc5b73222015f8eb9a,21,21,11,20,0
5a2aabf75b73222015f882c6,12,12,9,4,0
5a29d4675b73222015f75802,11,11,8,2,0
5a2ab01e5b73222015f895c4,9,9,10,2,0
5a2abc295b73222015f8ee74,16,16,6,9,0
5a2a7cfe5b73222015f85d3c,9,8,16,2,1
5a2a52b05b73222015f83b71,14,14,11,5,0
5a312c5e5b7322713613d465,23,23,1,15,0
5a2abc235b73222015f8ee1f,13,13,6,7,0
5a2abb095b73222015f8e599,18,18,7,18,0
5a29c0025b73222015f6cef6,15,15,10,4,0
5a2a1ec75b73222015f7f2af,17,17,10,8,0
5a29e0fa5b73222015f78111,11,11,13,2,0
5a2a46ec5b73222015f82cb4,10,10,10,2,0
5a29dfad5b73222015f77c5d,11,11,19,2,0
5a2a2c5d5b73222015f80590,10,10,12,2,0
5a2a6d925b73222015f851ab,12,12,11,5,0
5a29c3875b73222015f6de46,15,15,10,4,0
5a2abe605b73222015f8fcd8,15,15,10,5,0
5a2abc605b73222015f8f0c4,20,20,9,16,0
5a2a107a5b73222015f7ddb9,11,10,12,3,1
5a2a24615b73222015f7fa7e,10,10,21,2,0
5a29c3875b73222015f6de47,17,16,15,6,1
5a2aaf255b73222015f890be,9,9,20,2,0
5a2aab655b73222015f87fba,13,13,8,6,0
5a2abe815b73222015f8fdde,10,10,4,3,0
5a29d2e45b73222015f74cd3,11,11,18,2,0
